year;loc;blk;plt;pgl;genPlan;gen;yld;Lager;HL;HLG;Fraktion;TKM;pltb;MT;ZR;NF;RH;HB
y17;bre;b2;118;RGS001;101MER01;101MER01;72,48666667;5;6;61,0;17,9;33,24;618;4;7;1;1;9
y17;bre;b4;211;RGS002;101MER02;101MER02;74,96666667;1;2;65,9;41,8;35,92;711;2;6;1;1;7
y17;bre;b5;265;RGS003;101MER03;101MER03;78,79;2;4;59,8;13,2;33,72;765;3;8;1;1;8
y17;bre;b4;187;RGS004;101MER04;101MER04;72,173;1;4;61,8;5,8;34,68;687;3;6;1;1;8
y17;bre;b4;199;RGS005;101MER05;101MER05;88,83;1;3;61,4;58;37,46;699;3;6;1;1;8
y17;bre;b4;193;RGS006;101MER06;101MER06;69,04666667;8;8;60,5;12,2;33,12;693;4;7;1;1;9
y17;bre;b5;255;RGS007;101MER07;101MER07;68,67833333;1;2;65,1;65,4;38,97;755;3;8;1;1;8
y17;bre;b5;243;RGS008;101MER08;101MER08;69,89166667;1;4;65,0;40,6;33,78;743;3;5;1;1;6
y17;bre;b1;3;RGS009;101MER09;101MER09;79,215;1;1;65,4;40,1;34,05;503;5;7;1;6;6
y17;bre;b4;228;RGS010;101MER10;101MER10;82,25166667;1;1;62,7;38,5;30,86;728;6;4;1;1;9
y17;bre;b5;248;RGS011;101MER11;101MER11;81,10833333;1;2;64,6;72,5;36,05;748;5;3;1;1;4
y17;bre;b5;276;RGS012;101MER12;101MER12;74,965;2;4;62,6;26,3;32,90;776;4;7;1;1;9
y17;bre;b4;234;RGS013;101MER13;101MER13;73,54366667;1;4;62,8;27,6;38,35;734;3;7;1;1;9
y17;bre;b5;249;RGS014;101MER14;101MER14;69,856;1;2;60,0;18,6;32,21;749;2;4;1;1;5
y17;bre;b5;273;RGS015;101MER15;101MER15;72,52833333;1;1;64,7;58;31,73;773;5;6;1;1;8
y17;bre;b5;279;RGS016;101MER16;101MER16;75,27;1;2;64,5;85;39,63;779;3;3;3;1;7
y17;bre;b3;169;RGS017;101MER17;101MER17;80,71366667;1;1;61,0;55,2;38,44;669;4;5;1;1;6
y17;bre;b4;219;RGS018;101MER18;101MER18;75,36166667;1;2;68,1;24,6;31,09;719;3;6;1;5;6
y17;bre;b3;154;RGS019;101MER19;101MER19;67,76033333;1;5;69,1;82,2;42,82;654;4;5;1;1;7
y17;bre;b4;231;RGS020;101QUA01;101QUA01;80,52833333;1;1;67,9;35;34,94;731;4;6;1;1;4
y17;bre;b2;86;RGS021;101JEN01;MER;86,25833333;NA;NA;NA;NA;NA;586;5;3;1;1;6
y17;bre;b4;216;RGS022;101JEN02;101JEN02;74,015;1;2;66,2;54,2;37,68;716;4;6;1;1;6
y17;bre;b2;82;RGS023;101JEN03;101JEN03;71,49333333;1;1;64,0;45,1;36,16;582;4;2;1;1;6
y17;bre;b2;62;RGS024;101JEN04;101JEN04;74,13;1;2;67,2;56,4;35,88;562;7;4;1;1;7
y17;bre;b1;46;RGS025;101JEN05;101JEN05;62,12166667;1;1;64,6;49,5;35,76;546;3;6;1;1;6
y17;bre;b1;39;RGS026;101JEN06;101JEN06;67,325;1;1;67,2;42,6;32,62;539;5;4;1;1;4
y17;bre;b1;12;RGS027;101JEN07;MER;87,315;NA;NA;NA;NA;NA;512;4;6;1;1;6
y17;bre;b2;69;RGS028;101JEN08;101JEN08;65,35166667;1;1;65,7;38,7;35,67;569;5;7;1;1;6
y17;bre;b5;241;RGS029;101JEN09;101JEN09;64,65166667;1;2;65,9;36,6;32,12;741;7;7;1;1;8
y17;bre;b3;175;RGS030;101JEN10;101JEN10;66,06666667;1;1;61,0;17,5;34,12;675;4;7;1;1;5
y17;bre;b2;64;RGS031;101JEN11;MER;88,36;NA;NA;NA;NA;NA;564;2;4;1;1;9
y17;bre;b1;56;RGS032;101JEN12;101JEN12;66,01;1;1;65,7;35,6;33,98;556;5;8;1;1;8
y17;bre;b4;223;RGS033;101ETI01;101ETI01;81,71333333;1;3;66,2;48,3;32,33;723;5;5;1;1;8
y17;bre;b4;195;RGS034;101ETI02;101ETI02;62,51866667;1;7;61,1;19;31,78;695;3;6;1;3;9
y17;bre;b3;162;RGS035;101ETI03;101ETI03;78,74833333;7;7;61,7;5,4;33,84;662;3;8;1;1;9
y17;bre;b1;52;RGS036;101ETI04;101ETI04;67,79666667;1;5;59,2;17,2;32,34;552;5;5;1;1;9
y17;bre;b4;183;RGS037;101ETI05;101ETI05;79,06866667;1;3;64,3;38,8;33,15;683;5;5;1;1;9
y17;bre;b3;142;RGS038;101ETI06;101ETI06;62,74666667;1;3;63,6;29,2;45,13;642;6;3;1;1;9
y17;bre;b5;253;RGS039;101ETI07;101ETI07;69,46833333;1;1;63,7;58,8;33,76;753;5;4;1;1;7
y17;bre;b1;21;RGS040;101ETI08;101ETI08;80,975;1;2;66,0;58,4;36,87;521;3;7;1;1;9
y17;bre;b1;24;RGS041;101ETI09;101ETI09;78,744;1;2;68,4;55,6;40,62;524;4;7;1;1;9
y17;bre;b5;294;RGS042;101ETI10;101ETI10;74,04166667;1;4;58,8;7,4;35,38;794;4;8;1;1;9
y17;bre;b3;157;RGS043;101ETI11;101ETI11;85,36833333;1;2;65,5;38,3;36,87;657;5;3;1;1;6
y17;bre;b3;156;RGS044;101ETI12;101ETI12;64,96;1;4;61,3;4;30,54;656;6;4;1;1;9
y17;bre;b1;49;RGS045;101ETI13;101ETI13;72,44833333;2;5;63,2;52,7;37,90;549;6;5;1;1;9
y17;bre;b3;171;RGS046;101ETI14;101ETI14;65,12;1;2;66,2;48,9;32,53;671;5;6;1;1;9
y17;bre;b1;34;RGS047;101OTT04;101OTT04;63,845;1;2;62,2;14,8;33,60;534;5;8;1;1;9
y17;bre;b3;163;RGS048;101OTT05;MER;91,14;NA;NA;NA;NA;NA;663;4;7;1;1;9
y17;bre;b1;26;RGS049;101OTT06;101OTT06;56,685;1;1;67,6;54,3;35,51;526;2;5;1;1;8
y17;bre;b4;181;RGS050;101OTT09;NA;NA;2;6;61,6;11,7;34,13;681;6;6;1;1;6
y17;bre;b1;16;RGS051;146MER01;146MER01;75,64333333;1;1;66,1;68,3;42,95;516;4;6;1;1;8
y17;bre;b2;85;RGS052;146MER02;146MER02;74,41;2;5;62,1;38,8;36,34;585;4;8;1;1;9
y17;bre;b2;114;RGS053;146MER03;146MER03;72,53833333;1;1;62,7;67,9;37,93;614;5;3;3;1;9
y17;bre;b2;70;RGS054;146MER04;146MER04;83,98666667;1;3;65,2;76,1;39,37;570;1;6;1;1;7
y17;bre;b4;186;RGS055;146MER05;146MER05;73,79;6;7;64,2;45,6;38,64;686;2;5;1;1;7
y17;bre;b3;136;RGS056;146MER06;146MER06;73,55833333;1;3;62,4;34,7;36,42;636;2;8;1;1;9
y17;bre;b2;103;RGS057;146MER07;146MER07;74,63;2;1;62,4;69,9;41,21;603;3;4;1;1;7
y17;bre;b4;218;RGS058;146MER08;146MER08;72,93833333;1;2;65,5;73,3;36,90;718;5;4;1;1;8
y17;bre;b2;102;RGS059;146MER09;146MER09;71,93333333;1;2;64,3;57,7;39,76;602;3;7;1;1;9
y17;bre;b3;150;RGS060;146MER10;146MER10;67,711;1;2;67,1;71,8;38,99;650;4;4;1;1;6
y17;bre;b4;214;RGS061;146QUA01;146QUA01;70,37;1;5;63,2;44,2;34,96;714;2;6;1;1;9
y17;bre;b4;206;RGS062;146QUA02;146QUA02;71,01;1;7;63,1;38,8;38,80;706;2;4;1;8;9
y17;bre;b5;295;RGS063;146QUA03;146QUA03;73,61833333;1;3;64,9;49,1;42,72;795;2;6;1;1;8
y17;bre;b5;256;RGS064;146QUA04;146QUA04;67,60866667;1;7;64,9;31,4;34,99;756;2;5;1;1;6
y17;bre;b3;168;RGS065;146QUA05;146QUA05;79,269;1;2;68,2;77,6;42,04;668;3;5;1;1;6
y17;bre;b2;84;RGS066;146QUA06;146QUA06;82,24166667;1;2;67,6;70,1;37,22;584;4;3;1;1;6
y17;bre;b1;44;RGS067;146QUA07;146QUA07;79,39333333;1;2;65,7;50,3;37,70;544;2;4;1;1;4
y17;bre;b3;128;RGS068;146QUA08;146QUA08;76,06666667;2;4;62,6;17,9;35,10;628;2;7;1;1;9
y17;bre;b4;212;RGS069;146QUA09;146QUA09;80,98666667;1;1;68,5;63,7;37,67;712;2;6;1;1;9
y17;bre;b4;208;RGS070;146QUA10;146QUA10;82,14;1;6;68,9;56,7;41,33;708;2;5;3;4;7
y17;bre;b3;121;RGS071;146JEN01;146JEN01;70,72666667;1;1;64,3;38;40,86;621;2;3;1;1;3
y17;bre;b3;172;RGS072;146JEN02;146JEN02;77,405;1;2;67,9;66,9;41,09;672;7;7;1;1;6
y17;bre;b3;146;RGS073;146JEN03;MER;86,20333333;NA;NA;NA;NA;NA;646;2;6;1;1;7
y17;bre;b1;10;RGS074;146JEN04;146JEN04;71,75833333;1;1;66,1;57,4;35,33;510;3;4;1;1;8
y17;bre;b5;266;RGS075;146JEN05;146JEN05;73,04833333;1;5;60,8;46,8;36,96;766;3;7;4;1;8
y17;bre;b3;133;RGS076;146JEN06;146JEN06;68,90833333;1;3;67,0;52,4;33,60;633;3;3;1;1;6
y17;bre;b4;190;RGS077;146JEN07;146JEN07;68,322;1;3;66,0;45,8;35,92;690;6;4;1;1;9
y17;bre;b3;170;RGS078;146ETI01;146ETI01;74,77333333;1;3;66,2;57,9;38,21;670;7;6;1;1;8
y17;bre;b1;57;RGS079;146ETI02;146ETI02;81,165;2;7;69,6;72,5;38,22;557;3;6;1;1;9
y17;bre;b4;198;RGS080;146ETI03;146ETI03;67,18166667;1;3;66,1;57,3;36,42;698;5;3;1;1;8
y17;bre;b3;153;RGS081;146ETI04;146ETI04;72,26333333;1;5;65,1;49,6;33,33;653;3;8;1;1;9
y17;bre;b3;124;RGS082;146ETI05;146ETI05;78,53666667;1;2;67,7;69,6;43,58;624;5;3;1;1;7
y17;bre;b3;123;RGS083;146ETI06;146ETI06;80,29833333;1;3;68,2;67,2;40,70;623;4;7;1;1;8
y17;bre;b2;75;RGS084;146ETI07;146ETI07;64,14166667;3;6;67,3;67,7;40,51;575;5;8;1;1;9
y17;bre;b4;229;RGS085;146ETI08;146ETI08;75,02;1;2;70,9;70,9;38,50;729;4;4;1;1;5
y17;bre;b1;20;RGS086;146ETI09;146ETI09;76,29166667;1;2;66,6;53,3;33,33;520;3;8;1;1;8
y17;bre;b2;88;RGS087;146ETI10;146ETI10;77,28166667;1;6;65,4;60,1;41,28;588;3;7;1;1;9
y17;bre;b3;147;RGS088;146ETI12;146ETI12;78,06166667;1;2;66,6;55,2;38,93;647;3;6;1;1;8
y17;bre;b4;230;RGS089;146ETI13;146ETI13;83,97233333;1;1;70,6;76,6;40,67;730;6;4;3;1;5
y17;bre;b2;115;RGS090;146ETI14;146ETI14;72,569;1;3;61,3;43,7;32,58;615;6;7;1;1;9
y17;bre;b5;247;RGS091;146OTT01;146OTT01;69,66833333;1;4;64,4;65,6;43,45;747;4;6;1;1;5
y17;bre;b5;284;RGS092;146OTT02;146OTT02;82,725;1;4;59,5;44;39,68;784;4;6;1;1;7
y17;bre;b1;58;RGS093;146OTT03;146OTT03;70,96166667;1;1;69,0;60,4;35,29;558;4;8;1;1;6
y17;bre;b1;30;RGS094;146OTT04;146OTT04;71,44833333;1;3;63,9;24,6;33,77;530;2;4;1;1;7
y17;bre;b5;288;RGS095;146OTT05;146OTT05;71,96666667;1;3;65,2;42,5;32,38;788;4;6;1;1;7
y17;bre;b5;297;RGS096;146OTT06;146OTT06;65,63066667;1;4;64,0;38,3;36,49;797;2;4;1;1;9
y17;bre;b3;144;RGS097;146OTT07;146OTT07;77,67333333;2;6;59,8;47,7;38,37;644;4;6;1;1;8
y17;bre;b1;50;RGS098;146OTT08;146OTT08;70,55666667;1;4;65,6;55,4;42,01;550;2;7;1;1;9
y17;bre;b2;79;RGS099;146OTT09;146OTT09;67,37;1;4;63,2;35,8;34,39;579;5;3;1;1;8
y17;bre;b3;160;RGS100;146OTT10;146OTT10;67,935;1;2;66,6;49,5;33,14;660;2;6;1;1;4
y17;bre;b5;268;RGS101;D33MER01;D33MER01;70,26666667;1;1;64,7;76,1;43,13;768;8;5;1;5;7
y17;bre;b5;292;RGS102;D33MER02;D33MER02;92,36033333;1;1;64,1;92,1;42,90;792;7;5;1;1;8
y17;bre;b3;159;RGS103;D33MER03;D33MER03;81,295;1;5;63,4;78,9;39,13;659;8;4;1;1;7
y17;bre;b3;141;RGS104;D33MER04;D33MER04;80,11333333;1;1;65,9;90,5;39,63;641;8;6;1;1;4
y17;bre;b4;182;RGS105;D33MER05;MER;89,31833333;NA;NA;NA;NA;NA;682;6;5;1;1;6
y17;bre;b4;232;RGS106;D33MER06;D33MER06;88,34166667;1;2;65,7;79;40,53;732;6;7;1;1;8
y17;bre;b5;270;RGS107;D33MER07;D33MER07;79,36666667;1;2;64,7;77,5;40,25;770;8;4;1;1;6
y17;bre;b1;42;RGS108;D33MER08;D33MER08;74,00233333;1;2;65,2;84;38,97;542;8;7;1;1;8
y17;bre;b5;244;RGS109;D33MER09;D33MER09;77,255;1;3;66,4;82,7;39,83;744;4;4;1;4;7
y17;bre;b2;72;RGS110;D33MER10;D33MER10;84,46166667;2;4;64,6;75,1;36,71;572;7;6;1;1;8
y17;bre;b5;278;RGS111;D33MER11;D33MER11;90,88833333;1;2;63,9;77,1;41,14;778;7;7;1;1;8
y17;bre;b2;96;RGS112;D33MER12;D33MER12;75,57166667;1;3;63,0;89,4;41,24;596;8;4;1;1;7
y17;bre;b1;36;RGS113;D33MER13;MER;91,29766667;NA;NA;NA;NA;NA;536;6;7;1;1;8
y17;bre;b2;61;RGS114;D33MER14;D33MER14;82,44333333;1;2;64,8;88,4;39,84;561;7;7;1;1;5
y17;bre;b2;76;RGS115;D33MER15;D33MER15;75,53166667;1;3;64,4;78,6;38,53;576;6;7;1;1;8
y17;bre;b4;196;RGS116;D33MER16;D33MER16;77,09;1;1;66,4;93,3;45,66;696;7;3;1;1;7
y17;bre;b2;68;RGS117;D33MER17;D33MER17;84,67333333;1;1;66,1;93,9;43,66;568;7;4;1;1;7
y17;bre;b4;240;RGS118;D33MER18;MER;86,60333333;NA;NA;NA;NA;NA;740;6;8;1;1;9
y17;bre;b2;112;RGS119;D33MER19;D33MER19;77,36166667;1;1;64,4;89,5;43,50;612;8;3;1;1;6
y17;bre;b1;40;RGS120;D33MER20;D33MER20;86,97833333;1;2;65,8;72,4;38,97;540;6;4;4;1;7
y17;bre;b3;127;RGS121;D33MER21;D33MER21;88,16333333;1;2;65,0;94,4;34,56;627;4;5;1;1;6
y17;bre;b4;210;RGS122;D33MER22;D33MER22;76,895;1;2;64,9;68;37,86;710;6;3;1;1;7
y17;bre;b1;28;RGS123;D33QUA01;D33QUA01;76,10833333;1;1;68,0;86,4;46,15;528;6;7;1;1;7
y17;bre;b4;226;RGS124;D33QUA02;D33QUA02;79,52333333;1;2;66,8;87,5;39,55;726;5;4;3;1;6
y17;bre;b3;177;RGS125;D33QUA03;D33QUA03;81,87333333;1;2;66,3;88,4;43,50;677;7;5;1;1;8
y17;bre;b3;130;RGS126;D33QUA04;D33QUA04;83,59833333;1;1;65,6;92,6;46,43;630;7;4;3;1;5
y17;bre;b4;213;RGS127;D33QUA05;D33QUA05;75,19666667;1;2;65,7;79,4;41,74;713;7;5;1;1;7
y17;bre;b4;236;RGS128;D33QUA06;MER;84,41333333;NA;NA;NA;NA;NA;736;8;6;1;1;8
y17;bre;b5;264;RGS129;D33QUA07;D33QUA07;82,91333333;1;1;66,4;77,2;44,10;764;4;5;1;1;6
y17;bre;b2;111;RGS130;D33QUA08;D33QUA08;70,505;1;2;66,2;80,8;41,35;611;6;6;1;1;6
y17;bre;b1;7;RGS131;D33ETI01;D33ETI01;79,74166667;1;1;65,4;83,1;42,66;507;7;6;1;1;9
y17;bre;b1;60;RGS132;D33ETI02;D33ETI02;NA;1;2;64,6;77,7;37,76;560;8;3;1;1;7
y17;bre;b2;92;RGS133;D33ETI03;MER;89,03666667;NA;NA;NA;NA;NA;592;6;2;1;1;6
y17;bre;b5;261;RGS134;D33ETI04;D33ETI04;80,82833333;1;4;62,6;60,8;36,06;761;6;3;1;1;7
y17;bre;b5;283;RGS135;D33ETI05;D33ETI05;79,90833333;1;1;64,4;73,3;39,16;783;7;6;1;1;9
y17;bre;b1;6;RGS136;D33ETI06;D33ETI06;83,125;1;2;66,6;88,6;43,32;506;9;3;1;1;7
y17;bre;b4;217;RGS137;D33ETI07;D33ETI07;55,76666667;2;2;64,9;81,3;37,26;717;8;7;1;1;7
y17;bre;b4;238;RGS138;D33ETI08;MER;86,985;NA;NA;NA;NA;NA;738;9;7;1;1;9
y17;bre;b4;207;RGS139;D33ETI09;D33ETI09;66,745;1;2;65,5;79,2;39,47;707;8;6;1;1;8
y17;bre;b2;116;RGS140;D33ETI10;D33ETI10;81,194;1;1;64,6;77,7;38,89;616;4;6;1;1;7
y17;bre;b3;122;RGS141;D33ETI11;MER;82,015;NA;NA;NA;NA;NA;622;5;2;1;1;4
y17;bre;b3;139;RGS142;D33ETI12;D33ETI12;80,12666667;1;3;65,5;77,7;38,24;639;6;3;4;1;6
y17;bre;b2;105;RGS143;D33ETI13;D33ETI13;80,67833333;1;1;64,5;75;39,03;605;7;3;1;1;7
y17;bre;b1;19;RGS144;D33ETI14;D33ETI14;83,99333333;1;2;65,4;82,9;39,35;519;6;5;1;1;7
y17;bre;b5;289;RGS145;D33ETI15;MER;96,99833333;NA;NA;NA;NA;NA;789;3;3;3;1;7
y17;bre;b1;8;RGS146;D33ETI16;D33ETI16;79,90666667;1;1;65,7;86,4;39,69;508;9;5;1;1;8
