year;loc;rep;blk;plt;pgl;genPlan;gen;yld
y17;syn;r1;b4;186;RGS001;101MER01;101MER01;69,31
y17;syn;r1;b2;82;RGS002;101MER02;101MER02;98,83
y17;syn;r1;b3;166;RGS003;101MER03;101MER03;98,46
y17;syn;r1;b2;84;RGS004;101MER04;101MER04;94,17
y17;syn;r1;b1;37;RGS005;101MER05;101MER05;85,63
y17;syn;r1;b5;291;RGS006;101MER06;101MER06;76,97
y17;syn;r1;b4;181;RGS007;101MER07;101MER07;92,92
y17;syn;r1;b5;253;RGS008;101MER08;101MER08;85,53
y17;syn;r1;b5;290;RGS009;101MER09;101MER09;92,59
y17;syn;r1;b5;271;RGS010;101MER10;101MER10;106,71
y17;syn;r1;b5;260;RGS011;101MER11;101MER11;110,93
y17;syn;r1;b3;171;RGS012;101MER12;101MER12;78,73
y17;syn;r1;b4;224;RGS013;101MER13;101MER13;93,8
y17;syn;r1;b2;120;RGS014;101MER14;101MER14;112,15
y17;syn;r1;b3;135;RGS015;101MER15;101MER15;102,03
y17;syn;r1;b1;54;RGS016;101MER16;101MER16;112,8
y17;syn;r1;b5;284;RGS017;101MER17;101MER17;96,92
y17;syn;r1;b4;205;RGS018;101MER18;101MER18;97,06
y17;syn;r1;b4;208;RGS019;101MER19;101MER19;79,06
y17;syn;r1;b3;130;RGS020;101QUA01;101QUA01;109,22
y17;syn;r1;b3;176;RGS021;101JEN01;101JEN01;101,52
y17;syn;r1;b1;51;RGS022;101JEN02;101JEN02;106,1
y17;syn;r1;b2;110;RGS023;101JEN03;101JEN03;100,74
y17;syn;r1;b4;220;RGS024;101JEN04;101JEN04;101,6
y17;syn;r1;b2;93;RGS025;101JEN05;101JEN05;104,8
y17;syn;r1;b4;232;RGS026;101JEN06;101JEN06;97,69
y17;syn;r1;b4;236;RGS027;101JEN07;MER;123,1
y17;syn;r1;b1;7;RGS028;101JEN08;MER;116,47
y17;syn;r1;b3;133;RGS029;101JEN09;MER;111,54
y17;syn;r1;b4;222;RGS030;101JEN10;MER;120,15
y17;syn;r1;b4;216;RGS031;101JEN11;101JEN11;103,3
y17;syn;r1;b3;178;RGS032;101JEN12;101JEN12;104,5
y17;syn;r1;b5;294;RGS033;101ETI01;101ETI01;100,44
y17;syn;r1;b2;85;RGS034;101ETI02;101ETI02;78,31
y17;syn;r1;b2;94;RGS035;101ETI03;101ETI03;91,02
y17;syn;r1;b2;63;RGS036;101ETI04;101ETI04;89,78
y17;syn;r1;b1;45;RGS037;101ETI05;101ETI05;98,81
y17;syn;r1;b4;231;RGS038;101ETI06;101ETI06;86,64
y17;syn;r1;b5;243;RGS039;101ETI07;101ETI07;105,28
y17;syn;r1;b4;217;RGS040;101ETI08;101ETI08;106,32
y17;syn;r1;b3;165;RGS041;101ETI09;101ETI09;94,92
y17;syn;r1;b1;32;RGS042;101ETI10;101ETI10;105,18
y17;syn;r1;b5;259;RGS043;101ETI11;101ETI11;110,25
y17;syn;r1;b3;134;RGS044;101ETI12;101ETI12;86,34
y17;syn;r1;b5;285;RGS045;101ETI13;101ETI13;91,45
y17;syn;r1;b3;124;RGS046;101ETI14;101ETI14;108,9
y17;syn;r1;b4;194;RGS047;101OTT04;MER;112,57
y17;syn;r1;b3;142;RGS048;101OTT05;101OTT05;94,2
y17;syn;r1;b2;109;RGS049;101OTT06;MER;111,53
y17;syn;r1;b5;295;RGS050;101OTT09;MER;107,17
y17;syn;r1;b3;180;RGS051;146MER01;146MER01;109,28
y17;syn;r1;b2;87;RGS052;146MER02;146MER02;89,24
y17;syn;r1;b5;274;RGS053;146MER03;146MER03;92,35
y17;syn;r1;b5;249;RGS054;146MER04;146MER04;89,59
y17;syn;r1;b4;213;RGS055;146MER05;146MER05;88,85
y17;syn;r1;b2;73;RGS056;146MER06;146MER06;89,75
y17;syn;r1;b3;170;RGS057;146MER07;146MER07;99,65
y17;syn;r1;b1;58;RGS058;146MER08;146MER08;83,36
y17;syn;r1;b2;92;RGS059;146MER09;146MER09;95,72
y17;syn;r1;b3;126;RGS060;146MER10;146MER10;76,51
y17;syn;r1;b2;78;RGS061;146QUA01;146QUA01;93,72
y17;syn;r1;b2;64;RGS062;146QUA02;146QUA02;78,97
y17;syn;r1;b1;52;RGS063;146QUA03;146QUA03;98,62
y17;syn;r1;b3;136;RGS064;146QUA04;146QUA04;97,69
y17;syn;r1;b3;177;RGS065;146QUA05;146QUA05;112,67
y17;syn;r1;b5;265;RGS066;146QUA06;146QUA06;112,7
y17;syn;r1;b5;272;RGS067;146QUA07;146QUA07;106,02
y17;syn;r1;b4;228;RGS068;146QUA08;146QUA08;85,04
y17;syn;r1;b1;24;RGS069;146QUA09;146QUA09;112,03
y17;syn;r1;b3;139;RGS070;146QUA10;146QUA10;97,56
y17;syn;r1;b4;218;RGS071;146JEN01;146JEN01;84,92
y17;syn;r1;b2;66;RGS072;146JEN02;146JEN02;108,94
y17;syn;r1;b5;242;RGS073;146JEN03;146JEN03;112,65
y17;syn;r1;b2;81;RGS074;146JEN04;MER;123,22
y17;syn;r1;b5;252;RGS075;146JEN05;MER;104,89
y17;syn;r1;b2;91;RGS076;146JEN06;146JEN06;90,56
y17;syn;r1;b1;44;RGS077;146JEN07;146JEN07;82,91
y17;syn;r1;b5;276;RGS078;146ETI01;146ETI01;105,39
y17;syn;r1;b4;211;RGS079;146ETI02;146ETI02;81,89
y17;syn;r1;b5;247;RGS080;146ETI03;146ETI03;74,11
y17;syn;r1;b4;193;RGS081;146ETI04;146ETI04;61,43
y17;syn;r1;b2;67;RGS082;146ETI05;146ETI05;94,3
y17;syn;r1;b1;33;RGS083;146ETI06;146ETI06;93,7
y17;syn;r1;b1;22;RGS084;146ETI07;146ETI07;63,77
y17;syn;r1;b3;157;RGS085;146ETI08;146ETI08;90,1
y17;syn;r1;b3;127;RGS086;146ETI09;146ETI09;95,08
y17;syn;r1;b5;266;RGS087;146ETI10;146ETI10;82,45
y17;syn;r1;b5;300;RGS088;146ETI12;146ETI12;87,21
y17;syn;r1;b3;144;RGS089;146ETI13;146ETI13;99,99
y17;syn;r1;b3;175;RGS090;146ETI14;146ETI14;83,3
y17;syn;r1;b2;104;RGS091;146OTT01;146OTT01;99,5
y17;syn;r1;b3;154;RGS092;146OTT02;146OTT02;93,08
y17;syn;r1;b4;230;RGS093;146OTT03;146OTT03;97,65
y17;syn;r1;b1;18;RGS094;146OTT04;146OTT04;97,62
y17;syn;r1;b1;8;RGS095;146OTT05;146OTT05;94,32
y17;syn;r1;b3;147;RGS096;146OTT06;146OTT06;82,01
y17;syn;r1;b5;288;RGS097;146OTT07;146OTT07;97
y17;syn;r1;b2;114;RGS098;146OTT08;146OTT08;88,64
y17;syn;r1;b1;9;RGS099;146OTT09;146OTT09;98,48
y17;syn;r1;b1;31;RGS100;146OTT10;146OTT10;102,75
y17;syn;r1;b4;192;RGS101;D33MER01;D33MER01;96,95
y17;syn;r1;b4;210;RGS102;D33MER02;D33MER02;107,33
y17;syn;r1;b4;207;RGS103;D33MER03;D33MER03;99,22
y17;syn;r1;b3;151;RGS104;D33MER04;D33MER04;107,35
y17;syn;r1;b3;169;RGS105;D33MER05;D33MER05;99,03
y17;syn;r1;b2;108;RGS106;D33MER06;D33MER06;93,31
y17;syn;r1;b2;90;RGS107;D33MER07;D33MER07;101,52
y17;syn;r1;b4;214;RGS108;D33MER08;MER;117,79
y17;syn;r1;b3;145;RGS109;D33MER09;D33MER09;95,83
y17;syn;r1;b3;160;RGS110;D33MER10;D33MER10;100,98
y17;syn;r1;b4;190;RGS111;D33MER11;D33MER11;108,11
y17;syn;r1;b5;277;RGS112;D33MER12;MER;110,52
y17;syn;r1;b2;88;RGS113;D33MER13;D33MER13;101,69
y17;syn;r1;b5;261;RGS114;D33MER14;MER;106,52
y17;syn;r1;b5;278;RGS115;D33MER15;D33MER15;116,96
y17;syn;r1;b1;55;RGS116;D33MER16;D33MER16;97,65
y17;syn;r1;b1;57;RGS117;D33MER17;D33MER17;100,13
y17;syn;r1;b2;79;RGS118;D33MER18;D33MER18;102,78
y17;syn;r1;b3;132;RGS119;D33MER19;D33MER19;97,47
y17;syn;r1;b1;14;RGS120;D33MER20;D33MER20;95,29
y17;syn;r1;b3;168;RGS121;D33MER21;D33MER21;117,1
y17;syn;r1;b1;38;RGS122;D33MER22;D33MER22;101,87
y17;syn;r1;b5;254;RGS123;D33QUA01;D33QUA01;115,97
y17;syn;r1;b2;106;RGS124;D33QUA02;D33QUA02;108,95
y17;syn;r1;b1;42;RGS125;D33QUA03;MER;112,33
y17;syn;r1;b3;148;RGS126;D33QUA04;D33QUA04;106,85
y17;syn;r1;b1;13;RGS127;D33QUA05;MER;110,19
y17;syn;r1;b2;76;RGS128;D33QUA06;D33QUA06;89,77
y17;syn;r1;b1;50;RGS129;D33QUA07;MER;115,57
y17;syn;r1;b2;105;RGS130;D33QUA08;D33QUA08;85,63
y17;syn;r1;b3;162;RGS131;D33ETI01;D33ETI01;98,5
y17;syn;r1;b1;56;RGS132;D33ETI02;MER;117,19
y17;syn;r1;b5;286;RGS133;D33ETI03;D33ETI03;108,85
y17;syn;r1;b1;28;RGS134;D33ETI04;D33ETI04;114,08
y17;syn;r1;b2;75;RGS135;D33ETI05;D33ETI05;113,4
y17;syn;r1;b4;183;RGS136;D33ETI06;MER;117,1
y17;syn;r1;b1;36;RGS137;D33ETI07;D33ETI07;102,54
y17;syn;r1;b2;62;RGS138;D33ETI08;D33ETI08;95,74
y17;syn;r1;b4;223;RGS139;D33ETI09;D33ETI09;93,11
y17;syn;r1;b2;61;RGS140;D33ETI10;MER;122,13
y17;syn;r1;b5;289;RGS141;D33ETI11;D33ETI11;94,67
y17;syn;r1;b1;30;RGS142;D33ETI12;D33ETI12;108,97
y17;syn;r1;b5;255;RGS143;D33ETI13;MER;110,36
y17;syn;r1;b4;187;RGS144;D33ETI14;D33ETI14;97,54
y17;syn;r1;b4;225;RGS145;D33ETI15;D33ETI15;96,64
y17;syn;r1;b2;118;RGS146;D33ETI16;D33ETI16;113
y17;syn;r1;b3;129;RGS147;D33ETI17;MER;116,44
y17;syn;r1;b5;262;RGS148;D33ETI18;D33ETI18;104,54
y17;syn;r1;b5;250;RGS149;D33ETI19;D33ETI19;107,22
y17;syn;r1;b1;21;RGS150;D33ETI20;MER;103,9
y17;syn;r1;b1;10;RGS151;D37QUA01;D37QUA01;92,44
y17;syn;r1;b2;115;RGS152;D37QUA02;D37QUA02;109,13
y17;syn;r1;b1;16;RGS153;D37QUA03;D37QUA03;96,15
y17;syn;r1;b4;200;RGS154;D37QUA04;D37QUA04;106,93
y17;syn;r1;b1;26;RGS155;D37QUA05;D37QUA05;114,37
y17;syn;r1;b1;46;RGS156;D37QUA06;D37QUA06;102,01
y17;syn;r1;b2;86;RGS157;D37QUA07;MER;119,11
y17;syn;r1;b5;280;RGS158;D37QUA08;D37QUA08;97,07
y17;syn;r1;b4;184;RGS159;D37QUA09;D37QUA09;122,12
y17;syn;r1;b5;246;RGS160;D37QUA10;D37QUA10;87,76
y17;syn;r1;b5;292;RGS161;D37QUA11;D37QUA11;88,56
y17;syn;r1;b3;121;RGS162;D37QUA12;D37QUA12;77,34
y17;syn;r1;b4;195;RGS163;D37QUA13;D37QUA13;94,7
y17;syn;r1;b2;99;RGS164;D37QUA14;D37QUA14;125,85
y17;syn;r1;b4;235;RGS165;D37QUA15;MER;118,12
y17;syn;r1;b4;198;RGS166;D37QUA16;D37QUA16;108,37
y17;syn;r1;b1;12;RGS167;D37QUA17;D37QUA17;108,68
y17;syn;r1;b3;158;RGS168;D37QUA18;D37QUA18;104,88
y17;syn;r1;b3;163;RGS169;D37QUA19;MER;111,09
y17;syn;r1;b2;112;RGS170;D37QUA20;D37QUA20;78,5
y17;syn;r1;b1;20;RGS171;D37QUA21;D37QUA21;100,27
y17;syn;r1;b3;153;RGS172;D37QUA22;D37QUA22;106,78
y17;syn;r1;b3;140;RGS173;D37QUA23;D37QUA23;99,89
y17;syn;r1;b4;188;RGS174;D37QUA24;D37QUA24;97,69
y17;syn;r1;b5;282;RGS175;D37QUA25;D37QUA25;104,61
y17;syn;r1;b5;298;RGS176;D37QUA26;D37QUA26;93,95
y17;syn;r1;b1;1;RGS177;D37QUA27;D37QUA27;98,39
y17;syn;r1;b1;60;RGS178;D37QUA28;MER;123,18
y17;syn;r1;b3;156;RGS179;D37QUA29;D37QUA29;117,42
y17;syn;r1;b3;172;RGS180;D37QUA30;D37QUA30;104,45
y17;syn;r1;b5;256;RGS181;D37QUA31;MER;112,97
y17;syn;r1;b4;201;RGS182;D37QUA32;D37QUA32;101,9
y17;syn;r1;b4;189;RGS183;D37QUA33;D37QUA33;107,64
y17;syn;r1;b5;273;RGS184;D37QUA34;D37QUA34;94,88
y17;syn;r1;b1;43;RGS185;D37QUA35;MER;115,26
y17;syn;r1;b5;283;RGS186;D37QUA36;D37QUA36;95,58
y17;syn;r1;b4;204;RGS187;D37QUA37;D37QUA37;108,66
y17;syn;r1;b4;202;RGS188;D37OTT01;D37OTT01;74,19
y17;syn;r1;b2;111;RGS189;D37OTT02;D37OTT02;106,53
y17;syn;r1;b1;3;RGS190;D37OTT03;D37OTT03;102,59
y17;syn;r1;b1;49;RGS191;D37OTT04;D37OTT04;83,52
y17;syn;r1;b3;123;RGS192;D37OTT05;D37OTT05;99,97
y17;syn;r1;b1;39;RGS193;D37OTT06;MER;112,6
y17;syn;r1;b2;100;RGS194;D37OTT07;D37OTT07;90,86
y17;syn;r1;b3;152;RGS195;D37OTT08;MER;109,3
y17;syn;r1;b2;69;RGS196;D37OTT09;MER;121,14
y17;syn;r1;b1;27;RGS197;D37OTT10;D37OTT10;113,5
y17;syn;r1;b4;219;RGS198;D37OTT11;D37OTT11;110,93
y17;syn;r1;b1;15;RGS199;D37OTT12;D37OTT12;117,83
y17;syn;r1;b3;128;RGS200;D37OTT13;MER;121,66
y17;syn;r1;b3;141;RGS201;ANTMER01;ANTMER01;114,56
y17;syn;r1;b3;138;RGS202;ANTMER02;ANTMER02;113,3
y17;syn;r1;b3;122;RGS203;ANTMER03;ANTMER03;113,77
y17;syn;r1;b3;150;RGS204;ANTMER04;ANTMER04;105,27
y17;syn;r1;b5;264;RGS205;ANTMER05;ANTMER05;107,38
y17;syn;r1;b5;241;RGS206;ANTMER06;ANTMER06;118,74
y17;syn;r1;b4;196;RGS207;ANTMER07;ANTMER07;107,99
y17;syn;r1;b4;240;RGS208;ANTMER08;ANTMER08;120,94
y17;syn;r1;b2;74;RGS209;ANTMER09;ANTMER09;127,35
y17;syn;r1;b1;25;RGS210;ANTMER10;ANTMER10;115,63
y17;syn;r1;b4;237;RGS211;ANTMER11;ANTMER11;113,82
y17;syn;r1;b5;267;RGS212;ANTMER12;ANTMER12;113,87
y17;syn;r1;b2;80;RGS213;ANTMER13;ANTMER13;123,61
y17;syn;r1;b4;229;RGS214;ANTMER14;ANTMER14;125,3
y17;syn;r1;b1;34;RGS215;ANTMER15;ANTMER15;123,67
y17;syn;r1;b5;258;RGS216;ANTMER16;ANTMER16;109,69
y17;syn;r1;b5;248;RGS217;ANTQUA01;ANTQUA01;123,64
y17;syn;r1;b5;244;RGS218;ANTQUA02;ANTQUA02;120,44
y17;syn;r1;b4;182;RGS219;ANTQUA03;ANTQUA03;118,38
y17;syn;r1;b2;98;RGS220;ANTQUA04;ANTQUA04;116,53
y17;syn;r1;b2;68;RGS221;ANTQUA05;ANTQUA05;121,8
y17;syn;r1;b4;226;RGS222;ANTQUA06;ANTQUA06;116,16
y17;syn;r1;b1;2;RGS223;ANTQUA07;ANTQUA07;109,69
y17;syn;r1;b4;234;RGS224;ANTQUA08;ANTQUA08;127,33
y17;syn;r1;b4;206;RGS225;ANTQUA09;ANTQUA09;121,58
y17;syn;r1;b4;199;RGS226;ANTQUA10;ANTQUA10;118,42
y17;syn;r1;b3;146;RGS227;ANTQUA11;ANTQUA11;111,34
y17;syn;r1;b5;297;RGS228;ANTQUA12;ANTQUA12;94,43
y17;syn;r1;b2;117;RGS229;ANTETI01;ANTETI01;118,37
y17;syn;r1;b5;268;RGS230;ANTETI02;ANTETI02;105,82
y17;syn;r1;b2;96;RGS231;ANTETI03;ANTETI03;111,77
y17;syn;r1;b2;97;RGS232;ANTETI04;ANTETI04;97,75
y17;syn;r1;b2;102;RGS233;ANTETI05;ANTETI05;105,27
y17;syn;r1;b3;164;RGS234;ANTETI06;ANTETI06;103,76
y17;syn;r1;b5;270;RGS235;ANTETI07;ANTETI07;97,54
y17;syn;r1;b3;159;RGS236;ANTETI08;ANTETI08;107,68
y17;syn;r1;b2;70;RGS237;ANTETI09;ANTETI09;104,37
y17;syn;r1;b2;103;RGS238;ANTETI10;ANTETI10;113,19
y17;syn;r1;b5;279;RGS239;ANTETI11;ANTETI11;94,24
y17;syn;r1;b4;212;RGS240;ANTETI12;ANTETI12;114,94
y17;syn;r1;b1;4;RGS241;ANTETI13;ANTETI13;101,97
y17;syn;r1;b3;174;RGS242;ANTETI14;ANTETI14;107,56
y17;syn;r1;b5;296;RGS243;ANTETI15;ANTETI15;110,18
y17;syn;r1;b1;48;RGS244;ANTETI16;ANTETI16;99,16
y17;syn;r1;b4;238;RGS245;ANTETI17;ANTETI17;113,73
y17;syn;r1;b1;6;RGS246;ANTETI18;ANTETI18;99,7
y17;syn;r1;b2;116;RGS247;ANTOTT01;ANTOTT01;121,27
y17;syn;r1;b1;40;RGS248;ANTOTT02;ANTOTT02;114,53
y17;syn;r1;b2;72;RGS249;ANTOTT03;ANTOTT03;120,91
y17;syn;r1;b1;19;RGS250;ANTOTT04;ANTOTT04;115,22
y17;syn;r1;b1;47;RGS251;101;101;116,81
y17;syn;r1;b2;95;RGS251;101;MER;117,57
y17;syn;r1;b3;161;RGS251;101;101;79,38
y17;syn;r1;b4;239;RGS251;101;MER;112,08
y17;syn;r1;b5;293;RGS251;101;MER;106,54
y17;syn;r1;b1;29;RGS252;146;146;81,7
y17;syn;r1;b2;71;RGS252;146;146;71,41
y17;syn;r1;b3;125;RGS252;146;146;82,67
y17;syn;r1;b4;197;RGS252;146;146;120,74
y17;syn;r1;b5;263;RGS252;146;MER;108,43
y17;syn;r1;b1;53;RGS253;D33;D33;94,44
y17;syn;r1;b2;101;RGS253;D33;D33;94,85
y17;syn;r1;b3;167;RGS253;D33;D33;82,63
y17;syn;r1;b4;215;RGS253;D33;D33;118,11
y17;syn;r1;b5;299;RGS253;D33;D33;110,39
y17;syn;r1;b1;23;RGS254;D37;D37;89,39
y17;syn;r1;b2;65;RGS254;D37;D37;81,37
y17;syn;r1;b3;149;RGS254;D37;MER;103,41
y17;syn;r1;b4;191;RGS254;D37;D37;75,47
y17;syn;r1;b5;257;RGS254;D37;D37;105,99
y17;syn;r1;b1;59;RGS255;OTT;OTT;102,33
y17;syn;r1;b2;107;RGS255;OTT;OTT;107,53
y17;syn;r1;b3;173;RGS255;OTT;OTT;97,92
y17;syn;r1;b4;221;RGS255;OTT;OTT;109,33
y17;syn;r1;b5;275;RGS255;OTT;OTT;102,22
y17;syn;r1;b1;17;RGS256;ANT;ANT;113,47
y17;syn;r1;b2;89;RGS256;ANT;ANT;115,93
y17;syn;r1;b3;143;RGS256;ANT;ANT;109,53
y17;syn;r1;b4;185;RGS256;ANT;ANT;118,48
y17;syn;r1;b5;251;RGS256;ANT;ANT;105,73
y17;syn;r1;b1;35;RGS257;MER;MER;115,42
y17;syn;r1;b2;113;RGS257;MER;MER;121,72
y17;syn;r1;b3;179;RGS257;MER;MER;111,71
y17;syn;r1;b4;227;RGS257;MER;MER;113,52
y17;syn;r1;b5;281;RGS257;MER;MER;101,05
y17;syn;r1;b1;11;RGS258;ETI;ETI;108,03
y17;syn;r1;b2;83;RGS258;ETI;ETI;119,25
y17;syn;r1;b3;137;RGS258;ETI;ETI;110,55
y17;syn;r1;b4;209;RGS258;ETI;ETI;117,87
y17;syn;r1;b5;245;RGS258;ETI;ETI;102,8
y17;syn;r1;b1;41;RGS259;JEN;JEN;108,18
y17;syn;r1;b2;119;RGS259;JEN;JEN;111,61
y17;syn;r1;b3;155;RGS259;JEN;JEN;103,61
y17;syn;r1;b4;233;RGS259;JEN;JEN;108,86
y17;syn;r1;b5;287;RGS259;JEN;JEN;95,62
y17;syn;r1;b1;5;RGS260;QUA;QUA;118,31
y17;syn;r1;b2;77;RGS260;QUA;QUA;133,8
y17;syn;r1;b3;131;RGS260;QUA;QUA;113,76
y17;syn;r1;b4;203;RGS260;QUA;QUA;129,47
y17;syn;r1;b5;269;RGS260;QUA;QUA;118,5
